ATCvet,Dosageform,Genericname,Legalstatus,Manufacturername,Packagetype,Productcontrol,Routeofadministration,Storageconditions,Strengthvalue,Targetanimals,Tradename,Type,Unitofstrength ,Unitofvolume,Volume,_id
QP51AJ01,Oral solution,Toltrazuril,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,25,Poultry,Tolicox,meat,mg/ml,ml,200,63283c50428ed1b232dba879
QP51AJ01,Oral solution,Toltrazuril,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,25,Poultry,Tolicox,meat,mg/ml,ml,500,63283c50428ed1b232dba87a
QP51AJ01,Oral solution,Toltrazuril,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,25,Poultry,Tolicox,meat,mg/ml,ml,1000,63283c50428ed1b232dba87b
,Powder for oral solution,Clopidol,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 30°C,125,Poultry,Jopidol,meat,mg/ml,g,1000,63283c50428ed1b232dba87c
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 30°C,100,Poultry,Doxycycline 10%,meat,mg/kg,g,100,63283c50428ed1b232dba87d
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,100,Poultry,Doxycycline 10%,meat,mg/kg,g,500,63283c50428ed1b232dba87e
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,100,Poultry,Doxycycline 10%,meat,mg/kg,g,1000,63283c50428ed1b232dba87f
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 30°C,200,Poultry,Doxycycline 20%,meat,mg/kg,g,100,63283c50428ed1b232dba880
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,200,Poultry,Doxycycline 20%,meat,mg/kg,g,500,63283c50428ed1b232dba881
QJ01AA02,Powder for oral solution,Doxycycline ,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,200,Poultry,Doxycycline 20%,meat,mg/kg,g,1000,63283c50428ed1b232dba882
QJ01CA01,Powder for oral solution,Ampicillin Trihydrate,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 25°C,200,"Calf, Poultry",Ampicillin 20%,meat,,g,100,63283c50428ed1b232dba883
QA11GA01,Powder for oral solution,Ascorbic acid,OTC,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 30°C,250,"Cattle, Poultry, Sheep",Vitamin C 25%,,mg/g  ,g,100,63283c50428ed1b232dba884
QA11GA01,Powder for oral solution,Ascorbic acid,OTC,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,250,"Cattle, Poultry, Sheep",Vitamin C 25%,,mg/g  ,g,1000,63283c50428ed1b232dba885
QA11GA01,Powder for oral solution,Ascorbic acid,OTC,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,500,"Cattle, Poultry, Sheep",Vit C 50%,,mg/g  ,g,1000,63283c50428ed1b232dba886
,Powder for oral solution,"Sulphadimidine Sodium, Diaveridine",Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Jar,Uncontrolled,Oral,Store below 30°C,"320, 32",Poultry,Coxinil,meat,mg/g  ,g,1000,63283c50428ed1b232dba887
QA11JB,Oral solution,"Vitamins, Minerals",OTC,KELA LABORATORIA,Jar,Uncontrolled,Oral,Store below 25°C,,"Cattle, Goat, Horse, Poultry, Sheep",Multivit CH,,,ml,1000,63283c50428ed1b232dba888
QP52AC11,Oral suspension,Albendazole,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,50,"Camel, Cattle, Goat, Sheep",Albendazole 5%,meat,mg/ml,ml,500,63283c50428ed1b232dba889
QP52AC11,Oral suspension,Albendazole,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,50,"Camel, Cattle, Goat, Sheep",Albendazole 5%,meat,mg/ml,ml,1000,63283c50428ed1b232dba88a
QB05BB,Solution for injection/infusion,Lactated Ringer’s Solution,Prescription,Saudi Medical Solution Company,Bag,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,,"Cattle, Sheep, Horse, Camel & small animals",Lactated Ringer’s Injection,,,ml,5000,63283c50428ed1b232dba88b
QP52AC11,Oral suspension,Albendazole,Prescription,Pharma Care Leading Manufacturing Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,100,"Cattle, Goat, Sheep",Pharma Zole 10%,meat,mg/ml,ml,1000,63283c50428ed1b232dba88c
QJ01FA91,Oral solution,Tilmicosin Phosphate,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,250,poultry,Tilmovet,meat,mg/ml,ml,60,63283c50428ed1b232dba88d
QP52AC11,Oral suspension,Albendazole,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,25,"Camel, Cattle, Goat, Sheep",Albendazole 2.5%,meat,mg/ml,ml,500,63283c50428ed1b232dba88e
,Oral suspension,"Levamisole Hydrochloride, Oxyclozanide",Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,"15, 30","Cattle, sheep",Levazide,"meat, milk",mg/ml,ml,1000,63283c50428ed1b232dba88f
,Oral suspension,"Levamisole Hydrochloride, Oxyclozanide",Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 30°C,"15, 30","Cattle, sheep",Levazide,"meat, milk",mg/ml,ml,500,63283c50428ed1b232dba890
,Powder for oral solution,Menadione sodium bisulphate,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bag,Uncontrolled,Oral,Store below 25°C,125,"Poultry, Sheep, Goat",Vit K3,,mg/g  ,g,1000,63283c50428ed1b232dba891
QJ01AA06,Powder for oral solution,Oxytetracycline,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 25°C,250,"Poultry, Calves, Foals",Oxytetracycline 25%,meat,mg/g  ,g,1000,63283c50428ed1b232dba892
QJ01AA02,Powder for oral solution,Doxycycline Hyclate,Prescription,Saudi Pharmaceutical Industries (SPI),Sachet,Uncontrolled,Oral,Store below 30°C,200,Poultry,Doxysav 20%,meat,mg/g  ,g,500,63283c50428ed1b232dba893
QC03CA01,Solution for injection,Furosemide,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intramuscular,Store below 25°C,50,"Horse, cattle, Dogs, Cats",Furosix,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba894
,,Povidone Iodine,Prescription,Pharma Care Leading Manufacturing Company Ltd,Bottle,Uncontrolled,Topical,Store below 25°C,10,All species,Pharma Poviderm,,mg/ml,ml,1000,63283c50428ed1b232dba895
,Suspension for injection,Cloxacillin benzathine,Prescription,KELA LABORATORIA,Intramammary syringe,Uncontrolled,Intramammary ointment,Store below 25°C,1000,Cows,Drycloxa-kel ,"meat, milk",mg/g  ,g,9,63283c50428ed1b232dba896
QJ01FA90,Powder for oral solution,Tylosin Tartarate,Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Bottle,Uncontrolled,Oral,Store below 25°C,1000,Poultry,Tylovet,meat,g,g,100,63283c50428ed1b232dba897
,Powder for oral solution,"Sulphadimidine Sodium, Diaveridine",Prescription,Jordan Veterinary & Agriculture Medicines Industry Company (Jovet),Sachet,Uncontrolled,Oral,Store below 30°C,"320, 32",Poultry,Coxinil,meat,mg/g  ,g,100,63283c50428ed1b232dba898
QJ01AA06,Powder for oral solution,Oxytetracycline,Prescription,Pharma Care Leading Manufacturing Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,250,"Calf, Camel, Cattle, Goat, Sheep, Poultry, Turkey",Pharma Oxytetracycline 250  ,meat,mg/g  ,g,500,63283c50428ed1b232dba899
,Powder for oral solution,Clopidol,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,125,"Poultry, Rabbit, Turkey",Clopivet,meat,mg/g  ,g,1000,63283c50428ed1b232dba89a
QP52AC02,Oral suspension,Oxfendazole,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,22.65,"Cattle, sheep ",Fenazol,"meat, milk",mg/ml,ml,500,63283c50428ed1b232dba89b
QP52AC02,Oral suspension,Oxfendazole,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,22.65,"Cattle, sheep ",Fenazol,"meat, milk",mg/ml,ml,1000,63283c50428ed1b232dba89c
QA11GA01,Powder for oral solution,Ascorbic Acid,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Bottle,Uncontrolled,Oral,Store below 25°C,100,"Poultry, Sheep, Goat, calves, cattle, Horse, Camel ",MONTA-C,,%,g,500,63283c50428ed1b232dba89d
QA11GA01,Powder for oral solution,Ascorbic Acid,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Bottle,Uncontrolled,Oral,Store below 25°C,100,"Poultry, Sheep, Goat, calves, cattle, Horse, Camel ",MONTA-C,,%,g,1000,63283c50428ed1b232dba89e
QJ01FA90,Powder for oral solution,Tylosin Tartarate,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Bottle,Uncontrolled,Oral,Store below 25°C,1000,"  Chickens, Turkeys",Tylojat 100%,meat,mg/g  ,g,500,63283c50428ed1b232dba89f
QP53AX15,"Cutaneous spray, solution",Fipronil,Prescription,Merial (Rhone Merieux),Bottle,Uncontrolled,Topical,,2.5,"Dog, cat",Frontline Spray,,mg/ml,ml,100,63283c50428ed1b232dba8a0
QP53AX15,"Cutaneous spray, solution",Fipronil,Prescription,Merial (Rhone Merieux),Bottle,Uncontrolled,Topical,,2.5,"Dog, cat",Frontline Spray,,mg/ml,ml,250,63283c50428ed1b232dba8a1
,Powder for oral solution,Neomycin Sulphate,Prescription,Saudi Pharmaceutical Industries (SPI),jar,Uncontrolled,Oral,Store below 30°C,200,"Cattle, Goat, Sheep, Turkey",Savemycine 20%,meat,mg/g  ,g,500,63283c50428ed1b232dba8a2
QJ01FA90,Powder for oral solution,Tylosin Tartarate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,833.34,"Poultry, Turkey",Tylorate,meat,mg/g  ,g,100,63283c50428ed1b232dba8a3
QJ01FA90,Powder for oral solution,Tylosin Tartarate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,833.34,"Poultry, Turkey",Tylorate,meat,mg/g  ,g,500,63283c50428ed1b232dba8a4
QJ01FA90,Powder for oral solution,Tylosin Tartarate,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,833.34,"Poultry, Turkey",Tylorate,meat,mg/g  ,g,1000,63283c50428ed1b232dba8a5
QA11JB,Powder for oral solution,"Vitamins, Minerals, Amino Acids",OTC,Pharma Care Leading Manufacturing Company Ltd,Bottle,Uncontrolled,Oral,,,,Pharma Supervitamix Plus,,,g,1000,63283c50428ed1b232dba8a6
,Solution for injection,Vitamin B complex,Prescription,KELA LABORATORIA,Vial,Uncontrolled,,Store below 25°C,,,Hepafor,,,ml,100,63283c50428ed1b232dba8a7
QC03CA01,Solution for injection,Furosemide,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,50,"Horse, cattle, Dogs, Cats",Furosix,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8a8
QJ01AA02,Powder for oral solution,Doxycycline Hydrochloride,Prescription,Pharma Care Leading Manufacturing Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,500,"Calf, Cattle, Poultry",Pharma Dox 50%,meat,mg/g  ,g,500,63283c50428ed1b232dba8a9
QP51AX22,Solution for injection,Buparvaquone,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Vial,Uncontrolled,,Store below 25°C,50,Cattle,Theilex,"meat, milk",mg/ml,ml,10,63283c50428ed1b232dba8aa
QP51AX22,Solution for injection,Buparvaquone,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Vial,Uncontrolled,,Store below 25°C,50,Cattle,Theilex,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8ab
QP51AX22,Solution for injection,Buparvaquone,Prescription,Montajat Vet. Pharmaceutical Co. LTD ,Vial,Uncontrolled,,Store below 25°C,50,Cattle,Theilex,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8ac
QJ01AA02,Oral solution,Doxycycline Hyclate,Prescription,Industrial Veterinaria S.A. (INVESA),Bottle,Uncontrolled,Oral,Store below 25°C,100,"Poultry, Turkeys",Pollodoxin,meat,mg/ml,ml,1000,63283c50428ed1b232dba8ad
QA11JB,Solution for injection,"Vitamins, Minerals",Prescription,"Laboratorio Farmacologico Super's Diana S.L.",Vial,Uncontrolled,,Store below 25°C,,"Cattle, Goat, Sheep",Fosvitan,,,ml,100,63283c50428ed1b232dba8ae
,Solution for injection,Dexamethasone Sodium Phosphate,Prescription,Arab Veterinary Industrial Company (AVICO),Bottle,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,2,"Horse, cattle, Dogs, Cats",Avicort,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8af
,Solution for injection,Dexamethasone Sodium Phosphate,Prescription,Arab Veterinary Industrial Company (AVICO),Bottle,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,2,"Horse, cattle, Dogs, Cats",Avicort,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8b0
,Solution for injection,"Vitamin A, Vitamin D3, Vitamin E",Prescription,Arab Veterinary Industrial Company (AVICO),Bottle,Uncontrolled,,Store below 25°C,,,Ademin,,,ml,100,63283c50428ed1b232dba8b1
QJ01FA90,Solution for injection,Tylosin Tartarate,Prescription,Arab Veterinary Industrial Company (AVICO),Vial,Uncontrolled,,Store below 30°C,200,Cattle,Tylosin 20% Inj.,meat,mg/ml,ml,100,63283c50428ed1b232dba8b2
QJ01MA90,Solution for injection,Enrofloxacin,Prescription,Arab Veterinary Industrial Company (AVICO),Bottle,Uncontrolled,,Store below 30°C,100,"Cattle, Calves",Avitryl-10,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8b3
QJ01MA90,Solution for injection,Enrofloxacin,Prescription,Arab Veterinary Industrial Company (AVICO),Bottle,Uncontrolled,,Store below 30°C,100,"Cattle, Calves",Avitryl-10,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8b4
,Powder for oral solution,Colistin Sulphate,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,800000,"Calves, Lambs, Poultry",Colidad,meat,IU/g,g,100,63283c50428ed1b232dba8b5
QP52AG05,Oral suspension,Rafoxanide,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,30,"Sheep, Cattle",Rafoxidad 3% suspension,meat,mg/ml,ml,1000,63283c50428ed1b232dba8b6
,Powder for injection*,"Diminazene Aceturate, Phenazone",Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Vial,Uncontrolled,,Store below 30°C,"445, 555","Cattle, Camels, Horses and Sheep",Trypanodad,"meat, milk",mg/g  ,g,2.36,63283c50428ed1b232dba8b7
QR05CB02,Oral solution,Bromhexine HCl,OTC,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Bottle,Uncontrolled,Oral,Store below 25°C,10,"Cat, Cattle, Dog, Poultry",Bromac,meat,mg/ml,ml,1000,63283c50428ed1b232dba8b8
,Oral solution,"Vitamin A, vitamin D3, vitamin E",OTC,Montajat Vet. Pharmaceutical Co. LTD ,Bottle,Uncontrolled,Oral,Store below 25°C,,,Monta 3,,,ml,1000,63283c50428ed1b232dba8b9
QA11GA01,Powder for oral solution,Ascorbic Acid,OTC,Montajat Vet. Pharmaceutical Co. LTD ,Sachet,Uncontrolled,Oral,Store below 25°C,100,,MONTA-C,,%,g,100,63283c50428ed1b232dba8ba
QP54AA03,Solution for injection,Doramectin,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Vial,Uncontrolled,,Store below 25°C,10,"Cattle, sheep",Medoral,meat,mg/ml,ml,50,63283c50428ed1b232dba8bb
QJ01AA06,Solution for injection,Oxytetracycline hydrochloride,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,200,"Camel, Cattle, Sheep, Goats",Oxykel 20 L.A.,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8bc
QJ01AA06,Solution for injection,Oxytetracycline hydrochloride,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,200,"Camel, Cattle, Sheep, Goats",Oxykel 20 L.A.,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8bd
QJ01AA06,Solution for injection,Oxytetracycline hydrochloride,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,200,"Camel, Cattle, Sheep, Goats",Oxykel 20 L.A.,"meat, milk",mg/ml,ml,30,63283c50428ed1b232dba8be
QJ01DD90,Suspension for injection,Ceftiofur Hydrochloride,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Vial,Uncontrolled,,Store below 25°C,50,Cattle ,Medafur,meat,mg/ml,ml,100,63283c50428ed1b232dba8bf
QJ01FA90,Solution for injection,Tylosin Tartarate,Prescription,KELA LABORATORIA,Vial,Uncontrolled,,Store in a refrigerator (2°C – 8°C),200,"Camel, Cattle, Horses, Sheep, Goat, Cats, Dogs",Tyloxan 20%,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8c0
QM01AA01,Solution for injection,Phenylbutazone ,Prescription,KELA LABORATORIA,Vial,Uncontrolled,Intravenous (not otherwise specified),Store below 25°C,200,,Phenylbuta-kel 20% ,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8c1
,Powder for oral solution,"Magnesium Carbonate, Sodium Carbonate, Nux Vomica",OTC,Arab Veterinary Industrial Company (AVICO),Sachet,Uncontrolled,Oral,Store below 25°C,"891, 99, 9.9","Cow, Horse, Camel, Buffaloes, Calves, Sheep, Goats",Laxavet,,mg/g  ,g,101,63283c50428ed1b232dba8c2
,Powder for oral solution,Vitamins,OTC,"Laboratorio Farmacologico Super's Diana S.L.",Sachet,Uncontrolled,Oral,Store below 25°C,,,Superschoc,,mg/g  ,g,500,63283c50428ed1b232dba8c3
,Oral solution,Colistin Sulphate,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 30°C,1000000,"Goat, Poultry, Sheep",Coli Sav,meat,IU/ml,ml,200,63283c50428ed1b232dba8c4
QP51AX09,Oral solution,Amprolium HCL,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,,250,"Poultry, calves ",Amprodad 25%,,mg/ml,ml,1000,63283c50428ed1b232dba8c5
,,Levamisole Hydrochloride,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,box,Uncontrolled,Oral,Store below 30°C,300,"Cattle, Sheep, Goat",Levamidad 300 Bolus,meat,mg/g  ,,48,63283c50428ed1b232dba8c6
QP52AC11,,Albendazole,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Box,Uncontrolled,Oral,Store below 30°C,600,"Cattle, sheep, goat, calves",Albenzodad 600 bolus,meat,,,20,63283c50428ed1b232dba8c7
,Oral solution,Vitamins,OTC,"Laboratorio Farmacologico Super's Diana S.L.",Bottle,Uncontrolled,Oral,,,,Supersan Soluble,,mg/ml,ml,1000,63283c50428ed1b232dba8c8
QP53AC11,Concentrate for dip emulsion,Deltamethrin,Prescription,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,Bottle,Uncontrolled,Topical,Store below 30°C,50,"Cattle, Sheep",Deltavet,meat,g/l,ml,1000,63283c50428ed1b232dba8c9
QJ01MA90,Solution for injection,Enrofloxacin  ,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,,Store below 30°C,100,"Cattle, sheep. Goat",Dadtril 10% ,meat,mg/ml,ml,100,63283c50428ed1b232dba8ca
QJ01AA02,Powder for oral solution,Doxycycline Hydrochloride,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,200,"Poultry, calves, lambs, kids",Doxydad,meat,mg/g  ,g,500,63283c50428ed1b232dba8cb
QJ01AA02,Powder for oral solution,Doxycycline Hydrochloride,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,200,"Poultry, calves, lambs, kids",Doxydad,meat,mg/g  ,g,1000,63283c50428ed1b232dba8cc
,Solution for injection,Pentosan Polysulfate Sodium,Prescription,Ceva Animal Health Pty Ltd ,Vial,Uncontrolled,Intraarticular,Store in a refrigerator (2°C – 8°C),250,Horses,Pentosan Equine ,meat,mg/ml,ml,6,63283c50428ed1b232dba8cd
QD06AA02,Cutaneous spray*,Chlortetracycline Hydrochloride ,Prescription,"Laboratorio Farmacologico Super's Diana S.L.",Spray container,Uncontrolled,Topical,Store below 25°C,3.56/200,"Bovine, Ovine, Caprine, Equine, Poultry, Dogs, Cats                       ",Super’s Spray,,g/ml,ml,200,63283c50428ed1b232dba8ce
,solution for injection,Dexamethasone Sodium Phosphate,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Intravenous (not otherwise specified),Store below 30°C,2,"Cattle, Horses, Calves, Sheep ,Goat , Foal, Dogs, Cats",Dexasone Sav ,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8cf
,Powder for oral solution,Levamisole Hydrochloride,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,118,"Cattle, Sheep, Goat",Levamisole 11.8%,meat,mg/g  ,g,100,63283c50428ed1b232dba8d0
,Powder for oral solution,Levamisole Hydrochloride,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,118,"Cattle, Sheep, Goat",Levamisole 11.8%,meat,mg/g  ,g,500,63283c50428ed1b232dba8d1
,Powder for oral solution,Menadione sodium bisulphate,OTC,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Sachet,Uncontrolled,Oral,Store below 30°C,125,"Calves, Cattle, Sheep, Goat, Poultry",Vitamin K3,,mg/g  ,g,100,63283c50428ed1b232dba8d2
QJ01MB07,Powder for oral solution,Flumequine,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Sachet,Uncontrolled,Oral,Store below 25°C,100,"Calves, Foals, Kids, Lambs, Poultry, Rabbits",Flumequine 10%,meat,mg/g  ,g,100,63283c50428ed1b232dba8d3
,Powder for oral solution,Sulfamethazine Sodium,Prescription,Saudi Pharmaceutical Industries (SPI),jar,Uncontrolled,Oral,Store below 30°C,1000,"Cattle, Horses, Cows, Camel, Dogs, Cats ",Sulphadimidine 100%,"meat, milk",mg/g  ,g,500,63283c50428ed1b232dba8d4
QJ01MA90,solution for injection,Enrofloxacin,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,,Store below 25°C,50,"Cattle, Sheep, Goat",Dadtril 5%,meat,mg/ml,ml,100,63283c50428ed1b232dba8d5
,Oral solution,"Vitamin E, Selenium",OTC,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,"100, 3.2","Horse, Cow, Sheep, Poultry",Vitamin E + Selenium Solution,,mg/ml,ml,500,63283c50428ed1b232dba8d6
,Oral solution,"Vitamin E, Selenium",OTC,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,"100, 3.2","Horse, Cow, Sheep, Poultry",Vitamin E + Selenium Solution,,mg/ml,ml,1000,63283c50428ed1b232dba8d7
QP52AC11,Oral suspension,Albendazole,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,25,"Cattle, Sheep, Goat",Albenzodad  2.5% suspension,meat,mg/ml,ml,500,63283c50428ed1b232dba8d8
QP52AC11,Oral suspension,Albendazole,Prescription,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,25,"Cattle, Sheep, Goat",Albenzodad  2.5% suspension,meat,mg/ml,ml,1000,63283c50428ed1b232dba8d9
,Oral solution,"Vitamin A, Vitamin D3, Vitamin E",OTC,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,Bottle,Uncontrolled,Oral,Store below 30°C,,"Poultry, Calves, foals, sheep, goat, cows, bulls, horses, rabbit",Adevit liquid,,,ml,1000,63283c50428ed1b232dba8da
,solution for injection,Levamisole Hydrochloride,Prescription,Industrial Veterinaria S.A. (INVESA),Vial,Uncontrolled,,Store below 30°C,100,"Cattle, Sheep",Levamisol 100,"meat, milk",mg/ml,ml,100,63283c50428ed1b232dba8db
,Pessary,Chlortetracycline Hydrochloride ,Prescription,KELA LABORATORIA,box,Uncontrolled,Intrauterine,Store below 25°C,1,"Cow, Shecamel, Ewe, Goat ",Metricyclin,"meat, milk",,,,63283c50428ed1b232dba8dc
,Pessary,Chlortetracycline Hydrochloride ,Prescription,KELA LABORATORIA,box,Uncontrolled,Intrauterine,Store below 25°C,1,"Cow, Shecamel, Ewe, Goat ",Metricyclin,"meat, milk",,,,63283c50428ed1b232dba8dd
,solution for injection,"Ivermectin, Clorsulon",Prescription,Merial Saude Animal Ltd,Bottle,Uncontrolled,,Store below 25°C,"10, 100","Cattle, Sheep",Ivomec Super   ,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba8de
,Oral solution,Vitamins,OTC,"Laboratorio Farmacologico Super's Diana S.L.",Bottle,Uncontrolled,Oral,Store below 30°C,,"Bovine, Ovine, Poultry, Rabbit",Supersan,,,ml,1000,63283c50428ed1b232dba8df
QJ01MB07,Oral solution,Flumequine,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Bottle,Uncontrolled,Oral,Store below 25°C,200,"Horse, Cattle, Sheep, Chicken",Flumine,meat,mg/ml,ml,250,63283c50428ed1b232dba8e0
